Station,snow_1970s,snow_2000s,change_snow,snwd_1970s,snwd_2000s,change_snwd
USC00130112,9.54888888888889,15.26888888888889,-5.720000000000001,46.15777777777778,36.592222222222226,-9.565555555555555
USC00130133,9.4,21.645555555555553,-12.245555555555553,68.00555555555556,49.28,-18.72555555555556
USC00130149,22.835555555555555,126.0,-103.16444444444444,126.0,48.507777777777775,-77.49222222222222
USC00130157,10.324444444444445,34.297777777777775,-23.97333333333333,85.03888888888888,56.129999999999995,-28.90888888888888
USC00130181,8.649999999999999,15.712222222222223,-7.062222222222225,68.57444444444445,41.17444444444445,-27.400000000000006
USC00130200,9.817777777777778,10.728888888888887,-0.9111111111111097,44.964444444444446,37.263333333333335,-7.701111111111111
USC00130203,17.05,107.5,-90.45,124.63333333333335,38.17444444444445,-86.45888888888891
USC00130213,18.554444444444446,23.546666666666667,-4.992222222222221,62.257777777777775,50.31555555555555,-11.942222222222227
USC00130241,9.164444444444445,35.14888888888889,-25.984444444444446,51.249999999999986,37.78666666666667,-13.463333333333317
USC00130364,11.871111111111109,20.494444444444444,-8.623333333333335,76.84333333333333,48.31111111111112,-28.532222222222217
USC00130385,16.641111111111112,16.93,-0.28888888888888786,87.98777777777778,56.047777777777775,-31.940000000000005
USC00130536,8.927777777777779,7.587777777777778,1.3400000000000007,36.22666666666667,38.64111111111111,2.4144444444444417
USC00130576,13.781111111111107,19.411111111111115,-5.630000000000008,59.089999999999996,42.41333333333333,-16.67666666666667
USC00130600,11.337777777777777,14.942222222222224,-3.6044444444444466,50.257777777777775,37.22222222222222,-13.035555555555554
USC00130608,8.94888888888889,10.01222222222222,-1.0633333333333308,51.33444444444444,39.54111111111111,-11.793333333333337
USC00130745,20.023333333333333,7.104444444444445,12.918888888888889,33.41888888888889,39.69333333333334,6.274444444444455
USC00130753,8.099999999999998,10.15,-2.0500000000000025,41.57111111111111,30.652222222222218,-10.91888888888889
USC00130807,11.694444444444443,13.855555555555554,-2.1611111111111114,60.34666666666667,41.621111111111105,-18.725555555555566
USC00130923,20.294444444444444,30.272222222222222,-9.977777777777778,93.3911111111111,74.77555555555554,-18.61555555555556
USC00131060,7.9322222222222205,10.45111111111111,-2.51888888888889,32.01888888888889,22.82333333333333,-9.195555555555558
USC00131233,10.236666666666668,18.932222222222222,-8.695555555555554,63.6288888888889,42.38555555555556,-21.24333333333334
USC00131257,12.008888888888887,13.534444444444443,-1.525555555555556,54.629999999999995,48.08222222222222,-6.547777777777775
USC00131277,8.819999999999999,8.183333333333334,0.6366666666666649,47.822222222222216,41.19555555555556,-6.626666666666658
USC00131319,12.395555555555557,13.251111111111111,-0.8555555555555543,47.220000000000006,39.22555555555555,-7.994444444444454
USC00131354,10.431111111111111,24.74222222222222,-14.31111111111111,66.34555555555555,46.73777777777778,-19.60777777777777
USC00131394,8.742222222222221,14.933333333333334,-6.191111111111113,42.81,34.17333333333333,-8.63666666666667
USC00131402,12.744444444444445,13.876666666666669,-1.1322222222222234,64.44222222222223,52.144444444444446,-12.297777777777782
USC00131442,13.883333333333331,31.321111111111104,-17.437777777777775,81.46777777777777,40.56333333333333,-40.90444444444444
USC00131533,7.587777777777779,11.134444444444444,-3.546666666666665,39.65222222222222,27.23333333333333,-12.41888888888889
USC00131541,19.025555555555552,11.087777777777777,7.937777777777775,64.29222222222221,66.64111111111112,2.348888888888908
USC00131635,12.33888888888889,9.987777777777776,2.3511111111111145,42.66222222222222,35.22888888888889,-7.43333333333333
USC00131710,11.86111111111111,11.097777777777777,0.7633333333333336,45.68,63.68333333333332,18.003333333333323
USC00131731,11.38395061728395,12.844444444444445,-1.4604938271604944,46.12777777777778,41.29506172839506,-4.832716049382718
USC00131833,7.757777777777778,18.696666666666665,-10.938888888888886,61.427777777777784,58.06333333333335,-3.3644444444444375
