Station,snow_1980s,snow_1990s,change_snow,snwd_1980s,snwd_1990s,change_snwd
USC00130112,6.12,37.086666666666666,-30.966666666666665,50.18888888888889,21.108888888888888,-29.080000000000002
USC00130133,11.004444444444445,9.906666666666665,1.0977777777777806,50.83333333333333,56.50222222222222,5.668888888888894
USC00130157,13.057777777777778,19.597777777777775,-6.539999999999997,68.05333333333333,53.742222222222225,-14.311111111111103
USC00130181,10.237777777777776,8.766666666666666,1.4711111111111101,78.21777777777777,55.43777777777778,-22.779999999999987
USC00130200,16.406666666666666,12.053333333333333,4.3533333333333335,35.09777777777778,39.2,4.102222222222224
USC00130203,9.428888888888888,17.377777777777776,-7.948888888888888,51.79333333333334,48.29111111111111,-3.5022222222222297
USC00130213,11.066666666666666,25.793333333333333,-14.726666666666667,61.86,39.35777777777778,-22.502222222222223
USC00130241,8.666666666666666,13.61777777777778,-4.951111111111114,35.713333333333324,33.39111111111111,-2.3222222222222157
USC00130364,9.204444444444444,32.879999999999995,-23.67555555555555,90.69555555555556,65.09777777777778,-25.59777777777778
USC00130385,18.06888888888889,19.208888888888886,-1.139999999999997,91.84,70.96444444444447,-20.875555555555536
USC00130536,8.913333333333332,7.773333333333333,1.1399999999999988,27.915555555555557,38.0,10.084444444444443
USC00130576,7.815555555555555,9.9,-2.084444444444445,82.6,31.98222222222222,-50.617777777777775
USC00130600,19.888888888888886,11.895555555555553,7.993333333333332,41.63111111111111,51.14222222222222,9.511111111111113
USC00130608,12.493333333333334,9.933333333333332,2.5600000000000023,43.12666666666667,43.13111111111111,0.004444444444438034
USC00130745,5.962222222222222,8.546666666666667,-2.584444444444445,33.01777777777778,16.735555555555557,-16.282222222222224
USC00130753,7.933333333333332,12.24666666666667,-4.313333333333338,37.50888888888889,26.26,-11.248888888888889
USC00130807,8.673333333333336,10.63111111111111,-1.9577777777777747,41.260000000000005,38.215555555555554,-3.0444444444444514
USC00130923,13.784444444444443,78.88888888888889,-65.10444444444444,101.67111111111112,58.81111111111111,-42.86000000000001
USC00131060,9.61111111111111,18.08444444444444,-8.47333333333333,47.8311111111111,25.53777777777778,-22.29333333333332
USC00131233,11.373333333333331,13.126666666666665,-1.7533333333333339,50.49777777777778,43.282222222222224,-7.215555555555554
USC00131257,11.855555555555556,14.635555555555555,-2.7799999999999994,41.120000000000005,43.693333333333335,2.5733333333333306
USC00131277,8.819999999999999,10.51111111111111,-1.6911111111111108,42.75333333333333,32.324444444444445,-10.428888888888885
USC00131319,12.837777777777777,14.428888888888888,-1.5911111111111111,37.306666666666665,36.22222222222222,-1.0844444444444434
USC00131354,9.204444444444443,11.484444444444444,-2.280000000000001,32.16,29.55333333333333,-2.6066666666666656
USC00131394,10.799999999999999,20.02444444444444,-9.224444444444442,32.69111111111111,26.013333333333332,-6.677777777777781
USC00131402,14.540000000000001,12.464444444444442,2.0755555555555585,51.54666666666667,60.03333333333334,8.486666666666672
USC00131442,11.457777777777778,36.33555555555556,-24.87777777777778,104.64222222222222,42.86666666666666,-61.775555555555556
USC00131533,10.324444444444444,14.613333333333333,-4.28888888888889,37.85111111111111,37.233333333333334,-0.6177777777777749
USC00131541,11.40666666666667,7.913333333333332,3.4933333333333376,49.239999999999995,47.022222222222226,-2.217777777777769
USC00131635,12.662222222222223,11.24,1.4222222222222225,34.56222222222222,31.633333333333336,-2.9288888888888813
USC00131710,10.624444444444446,9.162222222222223,1.4622222222222234,36.58,43.22,6.640000000000001
USC00131731,13.24888888888889,14.431111111111113,-1.1822222222222223,37.12222222222222,35.13777777777778,-1.984444444444442
USC00131833,6.875555555555555,9.146666666666667,-2.2711111111111117,74.94444444444444,55.35555555555554,-19.588888888888903
USC00131848,4.844444444444444,38.138888888888886,-33.294444444444444,77.7888888888889,22.31666666666667,-55.472222222222236
USC00131954,13.031111111111112,17.124444444444446,-4.093333333333334,106.61111111111111,95.40444444444445,-11.206666666666663
USC00131962,34.97555555555555,48.87111111111111,-13.89555555555556,78.2088888888889,69.91111111111111,-8.297777777777782
USC00132110,13.344444444444445,29.335555555555555,-15.99111111111111,107.06222222222223,74.35333333333332,-32.70888888888891
USC00132171,10.555555555555557,11.391111111111112,-0.8355555555555547,48.448888888888895,36.2,-12.248888888888892
USC00132299,8.835555555555555,9.335555555555555,-0.5,79.27777777777779,32.660000000000004,-46.61777777777778
USC00132364,12.122222222222222,9.713333333333333,2.408888888888889,46.09111111111111,54.504444444444445,8.413333333333334
USC00132573,10.957777777777777,18.406666666666666,-7.44888888888889,52.68888888888889,48.766666666666666,-3.9222222222222243
USC00132603,12.608888888888888,10.908888888888889,1.6999999999999993,113.81111111111113,72.53555555555555,-41.275555555555584
USC00132689,12.122222222222222,35.23555555555555,-23.11333333333333,85.40666666666667,49.75555555555555,-35.65111111111111
USC00132724,12.684444444444445,9.986666666666666,2.6977777777777785,107.68444444444444,105.01111111111113,-2.6733333333333036
USC00132789,13.642222222222221,11.906666666666668,1.7355555555555533,34.30222222222223,33.34444444444445,-0.9577777777777783
USC00132864,11.973333333333334,14.524444444444445,-2.55111111111111,78.6088888888889,65.02222222222221,-13.586666666666687
USC00132977,10.911111111111115,33.45333333333333,-22.542222222222218,72.22666666666666,59.64000000000001,-12.586666666666652
USC00132999,11.315555555555555,12.07777777777778,-0.7622222222222241,107.71111111111111,67.28222222222222,-40.42888888888889
USC00133007,8.935555555555556,23.733333333333334,-14.797777777777778,84.0,37.39555555555555,-46.60444444444445
USC00133290,6.482222222222222,8.52,-2.0377777777777775,32.61555555555556,19.855555555555554,-12.760000000000005
